Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Season
E0,18/09/2010,Tottenham,Wolves,3,1,H,0.0,1.0,A,M Jones,20.0,5.0,11.0,2.0,7.0,11.0,5.0,4.0,3.0,3.0,0.0,0.0,1.4,4.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,18/09/2010,West Brom,Birmingham,3,1,H,0.0,1.0,A,C Foy,16.0,6.0,10.0,3.0,11.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,2.25,3.3,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,19/09/2010,Chelsea,Blackpool,4,0,H,4.0,0.0,H,M Clattenburg,27.0,11.0,15.0,4.0,7.0,4.0,9.0,6.0,1.0,2.0,0.0,0.0,1.1,9.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,19/09/2010,Man United,Liverpool,3,2,H,1.0,0.0,H,H Webb,16.0,7.0,7.0,1.0,15.0,10.0,6.0,1.0,4.0,1.0,0.0,0.0,1.7,3.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,19/09/2010,Wigan,Man City,0,2,A,0.0,1.0,A,L Probert,9.0,11.0,3.0,5.0,10.0,14.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0,3.6,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Arsenal,West Brom,2,3,A,0.0,0.0,D,M Oliver,24.0,7.0,12.0,5.0,15.0,14.0,16.0,4.0,4.0,3.0,0.0,0.0,1.22,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Birmingham,Wigan,0,0,D,0.0,0.0,D,M Clattenburg,10.0,17.0,4.0,10.0,12.0,18.0,3.0,7.0,2.0,3.0,1.0,0.0,1.83,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Blackpool,Blackburn,1,2,A,0.0,1.0,A,M Dean,11.0,13.0,8.0,8.0,12.0,11.0,8.0,8.0,2.0,1.0,0.0,0.0,3.2,3.25,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Fulham,Everton,0,0,D,0.0,0.0,D,H Webb,12.0,15.0,2.0,7.0,15.0,13.0,4.0,5.0,2.0,1.0,0.0,0.0,2.75,3.2,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Liverpool,Sunderland,2,2,D,1.0,1.0,D,S Attwell,13.0,10.0,5.0,1.0,15.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,1.44,4.33,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,Man City,Chelsea,1,0,H,0.0,0.0,D,A Marriner,8.0,15.0,6.0,4.0,10.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0,3.6,3.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,25/09/2010,West Ham,Tottenham,1,0,H,1.0,0.0,H,M Atkinson,22.0,17.0,15.0,11.0,10.0,11.0,14.0,7.0,2.0,0.0,0.0,0.0,3.5,3.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,26/09/2010,Bolton,Man United,2,2,D,1.0,1.0,D,P Dowd,15.0,12.0,9.0,6.0,16.0,18.0,7.0,12.0,1.0,2.0,0.0,0.0,7.5,4.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,26/09/2010,Newcastle,Stoke,1,2,A,1.0,0.0,H,M Jones,11.0,8.0,7.0,2.0,8.0,11.0,3.0,4.0,0.0,1.0,0.0,0.0,1.91,3.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,26/09/2010,Wolves,Aston Villa,1,2,A,0.0,1.0,A,M Halsey,14.0,10.0,12.0,8.0,15.0,19.0,5.0,4.0,1.0,2.0,0.0,0.0,2.88,3.25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,Birmingham,Everton,0,2,A,0.0,0.0,D,P Dowd,6.0,11.0,3.0,6.0,5.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,2.88,3.1,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,Stoke,Blackburn,1,0,H,0.0,0.0,D,H Webb,18.0,7.0,11.0,4.0,8.0,13.0,8.0,6.0,2.0,3.0,0.0,0.0,2.25,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,Sunderland,Man United,0,0,D,0.0,0.0,D,C Foy,14.0,10.0,8.0,4.0,10.0,6.0,10.0,4.0,1.0,2.0,0.0,0.0,5.0,3.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,Tottenham,Aston Villa,2,1,H,1.0,1.0,D,M Clattenburg,19.0,13.0,10.0,4.0,12.0,19.0,10.0,4.0,1.0,3.0,0.0,0.0,1.91,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,West Brom,Bolton,1,1,D,0.0,0.0,D,P Walton,17.0,10.0,9.0,5.0,8.0,10.0,7.0,4.0,3.0,2.0,0.0,0.0,2.1,3.25,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
E0,02/10/2010,West Ham,Fulham,1,1,D,0.0,1.0,A,A Marriner,12.0,17.0,5.0,5.0,15.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,2.25,3.25,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11
